company_id,company_name,num_laid_off,pct_laid_off,industry,office,country_code,country,region,continent,date_announced,year,quarter,month,weekday,week,stage,mn_raised_dollar,source
763,EasyPost,75,NA,Logistics,Salt Lake City,USA,United States,Northern America,North America,2020-03-11,2020,Q1,3,Wednesday,11,Series A,12,https://www.bizjournals.com/louisville/news/2020/03/11/logistics-company-ceasing-operations-planning.html
2369,Tamara Mellon,20,0.4,Retail,Los Angeles,USA,United States,Northern America,North America,2020-03-12,2020,Q1,3,Thursday,11,Series C,90,https://layoffs.fyi/list/tamara-mellon/
1788,Panda Squad,6,0.75,Consumer,SF Bay Area,USA,United States,Northern America,North America,2020-03-13,2020,Q1,3,Friday,11,Seed,1,https://twitter.com/danielsinger/status/1238545571092160514
1137,HopSkipDrive,8,0.1,Transportation,Los Angeles,USA,United States,Northern America,North America,2020-03-13,2020,Q1,3,Friday,11,Unknown,45,https://layoffs.fyi/2020/04/02/hopskipdrive-laid-off-10-of-team-due-to-school-closures/
1220,Inspirato,130,0.22,Travel,Denver,USA,United States,Northern America,North America,2020-03-16,2020,Q1,3,Monday,12,Series C,79,https://businessden.com/2020/03/16/inspirato-cuts-20-of-workforce/
2137,Service,NA,1,Travel,Los Angeles,USA,United States,Northern America,North America,2020-03-16,2020,Q1,3,Monday,12,Seed,5,https://techcrunch.com/2020/03/16/travel-savings-tool-service-shuts-down-citing-covid-19-downturn/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+techcrunch%2Fstartups+%28TechCrunch+%C2%BB+Startups%29
1095,Help.com,16,1,Support,Austin,USA,United States,Northern America,North America,2020-03-16,2020,Q1,3,Monday,12,Seed,6,LinkedIn
925,Flytedesk,4,0.2,Marketing,Boulder,USA,United States,Northern America,North America,2020-03-18,2020,Q1,3,Wednesday,12,Seed,4,https://businessden.com/2020/03/18/boulder-advertising-startup-flytedesk-lays-off-staff-amid-coronavirus/
123,Anyvision,NA,NA,Security,Tel Aviv,ISR,Israel,Western Asia,Asia,2020-03-19,2020,Q1,3,Thursday,12,Series A,74,https://ipvm.com/reports/anyvision-20-layoffs
778,Ejento,84,1,Recruiting,SF Bay Area,USA,United States,Northern America,North America,2020-03-19,2020,Q1,3,Thursday,12,Unknown,NA,https://layoffs.fyi/list/ejento/
2016,Remote Year,50,0.5,Travel,Chicago,USA,United States,Northern America,North America,2020-03-19,2020,Q1,3,Thursday,12,Series B,17,https://techcrunch.com/2020/03/19/remote-year-which-helps-you-work-while-traveling-the-world-lays-off-50-of-staff/
331,Bounce,120,NA,Transportation,Bengaluru,IND,India,Southern Asia,Asia,2020-03-19,2020,Q1,3,Thursday,12,Series D,214,https://www.cqai520.com/tech/scooter-rental-startup-bounce-lays-off-120-employees-amid-coronavirus-scare-report/#more-18179
1442,Lola,34,NA,Travel,Boston,USA,United States,Northern America,North America,2020-03-19,2020,Q1,3,Thursday,12,Series C,81,https://layoffs.fyi/2020/03/19/lola-lays-off-34-employees-due-to-impact-of-the-coronavirus/
1899,Popin,NA,1,Fitness,New York City,USA,United States,Northern America,North America,2020-03-19,2020,Q1,3,Thursday,12,Unknown,13,https://www.businessinsider.com/fitness-app-popin-shut-down-email-to-users-2020-3?r=startups-layoff-lp
2513,Tuft & Needle,NA,NA,Retail,Phoenix,USA,United States,Northern America,North America,2020-03-19,2020,Q1,3,Thursday,12,Acquired,0,https://www.theverge.com/2020/3/19/21185840/tuft-needle-coronavirus-firing-retail-staff-closing-stores
1823,Peek,45,NA,Travel,Salt Lake City,USA,United States,Northern America,North America,2020-03-20,2020,Q1,3,Friday,12,Series B,39,https://layoffs.fyi/2020/04/06/peek-conducted-a-mass-layoff/
926,Flywheel Sports,784,0.98,Fitness,New York City,USA,United States,Northern America,North America,2020-03-20,2020,Q1,3,Friday,12,Acquired,120,https://stayfit305.com/solidcore-and-flywheel-announce-layoffs-as-a-result-of-covid-19/
2137,Service,NA,1,Travel,Los Angeles,USA,United States,Northern America,North America,2020-03-20,2020,Q1,3,Friday,12,Seed,5,https://techcrunch.com/2020/03/16/travel-savings-tool-service-shuts-down-citing-covid-19-downturn/
621,CTO.ai,30,0.5,Infrastructure,Vancouver,CAN,Canada,Northern America,North America,2020-03-20,2020,Q1,3,Friday,12,Seed,7,LinkedIn
2575,Vacasa,NA,NA,Travel,Portland,USA,United States,Northern America,North America,2020-03-20,2020,Q1,3,Friday,12,Series C,526,https://www.bizjournals.com/portland/news/2020/03/20/vacasa-announces-large-scale-layoffs-slashes.html
2737,Yonder,18,NA,Media,Austin,USA,United States,Northern America,North America,2020-03-20,2020,Q1,3,Friday,12,Series A,16,https://www.americaninno.com/austin/inno-news/austin-startup-yonder-lays-off-18-employees-citing-coronavirus-disruptions/
2793,Zwift,NA,NA,Fitness,Los Angeles,USA,United States,Northern America,North America,2020-03-23,2020,Q1,3,Monday,13,Series B,164,https://www.dcrainmaker.com/2020/03/zwift-lays-off-employees-in-move-to-focus-on-developing-new-hardware.html
2495,Triplebyte,15,0.17,Recruiting,SF Bay Area,USA,United States,Northern America,North America,2020-03-23,2020,Q1,3,Monday,13,Series B,48,https://layoffs.fyi/2020/03/26/triplebyte-lays-off-15-talent-managers-and-technical-writers/
1361,Ladder Life,13,0.25,Finance,SF Bay Area,USA,United States,Northern America,North America,2020-03-23,2020,Q1,3,Monday,13,Series C,94,LinkedIn
395,Cabin,NA,0.2,Travel,SF Bay Area,USA,United States,Northern America,North America,2020-03-23,2020,Q1,3,Monday,13,Seed,3,https://www.theinformation.com/articles/layoffs-accelerate-across-silicon-valley-startups
739,Drip,20,NA,Marketing,Salt Lake City,USA,United States,Northern America,North America,2020-03-23,2020,Q1,3,Monday,13,Acquired,0,LinkedIn
2405,The Guild,38,0.22,Travel,Austin,USA,United States,Northern America,North America,2020-03-23,2020,Q1,3,Monday,13,Series B,36,https://www.americaninno.com/austin/inno-news/report-austin-startup-the-guild-lays-off-38-people/
776,Eight Sleep,NA,0.2,Retail,New York City,USA,United States,Northern America,North America,2020-03-23,2020,Q1,3,Monday,13,Series C,70,https://www.theinformation.com/articles/layoffs-accelerate-across-silicon-valley-startups
587,Convene,150,0.18,Real Estate,New York City,USA,United States,Northern America,North America,2020-03-23,2020,Q1,3,Monday,13,Series D,280,https://layoffs.fyi/2020/04/08/convene-laid-off-150-employees/
